Player,Player_1,Player_2,Winner,Surface
,Londero J.I.,Davidovich Fokina A.,Londero J.I.,Clay
,Hanfmann Y.,Carreno Busta P.,Carreno Busta P.,Clay
,Jarry N.,Zverev A.,Zverev A.,Clay
,Djere L.,Krajinovic F.,Krajinovic F.,Clay
,Cecchinato M.,Delbonis F.,Delbonis F.,Clay
,Fognini F.,Lenz J.,Fognini F.,Clay
,Rublev A.,Ruud C.,Rublev A.,Clay
,Gasquet R.,Chardy J.,Chardy J.,Clay
,Fucsovics M.,Thiem D.,Thiem D.,Clay
,Londero J.I.,Basilashvili N.,Basilashvili N.,Clay
,Krajinovic F.,Klizan M.,Krajinovic F.,Clay
,Carreno Busta P.,Struff J.L.,Carreno Busta P.,Clay
,Zverev A.,Delbonis F.,Zverev A.,Clay
,Molleker R.,Fognini F.,Fognini F.,Clay
,Chardy J.,Basilashvili N.,Basilashvili N.,Clay
,Thiem D.,Rublev A.,Rublev A.,Clay
,Krajinovic F.,Zverev A.,Zverev A.,Clay
,Carreno Busta P.,Fognini F.,Carreno Busta P.,Clay
,Basilashvili N.,Zverev A.,Basilashvili N.,Clay
,Carreno Busta P.,Rublev A.,Rublev A.,Clay
,Rublev A.,Basilashvili N.,Basilashvili N.,Clay
,Delbonis F.,Sonego L.,Sonego L.,Clay
,Carballes Baena R.,Dellien H.,Carballes Baena R.,Clay
,Bachinger M.,Klizan M.,Bachinger M.,Clay
,Novak D.,Rodionov J.,Novak D.,Clay
,Cecchinato M.,Chardy J.,Chardy J.,Clay
,Fabbiano T.,Munar J.,Munar J.,Clay
,Mayer L.,Andujar P.,Andujar P.,Clay
,Garcia-Lopez G.,Kovalik J.,Kovalik J.,Clay
,Kohlschreiber P.,Gasquet R.,Kohlschreiber P.,Clay
,Ruud C.,Carreno Busta P.,Ruud C.,Clay
,Ofner S.,Miedler L.,Ofner S.,Clay
,Fucsovics M.,Ramos-Vinolas A.,Ramos-Vinolas A.,Clay
,Lajovic D.,Chardy J.,Chardy J.,Clay
,Bachinger M.,Ruud C.,Ruud C.,Clay
,Munar J.,Ramos-Vinolas A.,Ramos-Vinolas A.,Clay
,Cuevas P.,Novak D.,Cuevas P.,Clay
,Sonego L.,Carballes Baena R.,Sonego L.,Clay
,Kovalik J.,Verdasco F.,Verdasco F.,Clay
,Kohlschreiber P.,Andujar P.,Andujar P.,Clay
,Ofner S.,Thiem D.,Thiem D.,Clay
,Ramos-Vinolas A.,Chardy J.,Ramos-Vinolas A.,Clay
,Ruud C.,Cuevas P.,Ruud C.,Clay
,Sonego L.,Verdasco F.,Sonego L.,Clay
,Thiem D.,Andujar P.,Thiem D.,Clay
,Ruud C.,Ramos-Vinolas A.,Ramos-Vinolas A.,Clay
,Sonego L.,Thiem D.,Thiem D.,Clay
,Thiem D.,Ramos-Vinolas A.,Thiem D.,Clay
,Millman J.,Gunneswaran P.,Gunneswaran P.,Hard
,Kokkinakis T.,Janvier M.,Kokkinakis T.,Hard
,Kukushkin M.,Dzumhur D.,Kukushkin M.,Hard
,Jung J.,Gulbis E.,Gulbis E.,Hard
,Gomez L.,Granollers M.,Granollers M.,Hard
,Daniel T.,Sandgren T.,Daniel T.,Hard
,Garin C.,Londero J.I.,Londero J.I.,Hard
,Albot R.,Tipsarevic J.,Albot R.,Hard
,Kwon S.W.,Stebe C.M.,Kwon S.W.,Hard
,Johnson S.,Dimitrov G.,Dimitrov G.,Hard
,Norrie C.,Barrere G.,Norrie C.,Hard
,Fritz T.,Koepfer D.,Fritz T.,Hard
,Daniel T.,Albot R.,Albot R.,Hard
,Gulbis E.,Schwartzman D.,Schwartzman D.,Hard
,Norrie C.,Kukushkin M.,Kukushkin M.,Hard
,Londero J.I.,Kwon S.W.,Kwon S.W.,Hard
,Pella G.,Dimitrov G.,Pella G.,Hard
,Gunneswaran P.,Fritz T.,Fritz T.,Hard
,Kokkinakis T.,Pouille L.,Kokkinakis T.,Hard
,Granollers M.,Fognini F.,Fognini F.,Hard
,Kukushkin M.,Schwartzman D.,Schwartzman D.,Hard
,Pella G.,Kwon S.W.,Pella G.,Hard
,Albot R.,Kokkinakis T.,Albot R.,Hard
,Fritz T.,Fognini F.,Fritz T.,Hard
,Pella G.,Schwartzman D.,Schwartzman D.,Hard
,Fritz T.,Albot R.,Fritz T.,Hard
,Fritz T.,Schwartzman D.,Schwartzman D.,Hard
,Karlovic I.,Fratangelo B.,Fratangelo B.,Hard
,Kudla D.,Paul T.,Paul T.,Hard
,Berankis R.,Harris L.,Harris L.,Hard
,Torpegaard M.,Copil M.,Copil M.,Hard
,Tsonga J.W.,Schnur B.,Tsonga J.W.,Hard
,Mannarino A.,Ivashka I.,Mannarino A.,Hard
,Klahn B.,Bublik A.,Bublik A.,Hard
,Ebden M.,Smyczek T.,Smyczek T.,Hard
,Hurkacz H.,Young D.,Hurkacz H.,Hard
,Polmans M.,Jaziri M.,Polmans M.,Hard
,Evans D.,Nishioka Y.,Nishioka Y.,Hard
,Kecmanovic M.,Popyrin A.,Kecmanovic M.,Hard
,Opelka R.,Eubanks C.,Opelka R.,Hard
,Thompson J.,Sock J.,Thompson J.,Hard
,Gojowczyk P.,Rublev A.,Gojowczyk P.,Hard
,Kyrgios N.,Kwiatkowski T.S.,Kyrgios N.,Hard
,Tiafoe F.,Bublik A.,Tiafoe F.,Hard
,Edmund K.,Harris L.,Edmund K.,Hard
,Medvedev D.,Fratangelo B.,Medvedev D.,Hard
,Khachanov K.,Tsonga J.W.,Tsonga J.W.,Hard
,Cilic M.,Copil M.,Cilic M.,Hard
,Mannarino A.,Gombos N.,Gombos N.,Hard
,Kecmanovic M.,Herbert P.H.,Kecmanovic M.,Hard
,Hurkacz H.,Isner J.,Isner J.,Hard
,Auger-Aliassime F.,Opelka R.,Auger-Aliassime F.,Hard
,Polmans M.,Paire B.,Paire B.,Hard
,Raonic M.,Smyczek T.,Raonic M.,Hard
,De Minaur A.,Gojowczyk P.,Gojowczyk P.,Hard
,Simon G.,Kyrgios N.,Kyrgios N.,Hard
,Tsitsipas S.,Paul T.,Tsitsipas S.,Hard
,Nishioka Y.,Goffin D.,Nishioka Y.,Hard
,Thompson J.,Struff J.L.,Thompson J.,Hard
,Edmund K.,Tsonga J.W.,Edmund K.,Hard
,Cilic M.,Auger-Aliassime F.,Cilic M.,Hard
,Gojowczyk P.,Raonic M.,Gojowczyk P.,Hard
,Gombos N.,Kecmanovic M.,Gombos N.,Hard
,Tiafoe F.,Medvedev D.,Medvedev D.,Hard
,Thompson J.,Tsitsipas S.,Tsitsipas S.,Hard
,Isner J.,Paire B.,Paire B.,Hard
,Nishioka Y.,Kyrgios N.,Kyrgios N.,Hard
,Gojowczyk P.,Edmund K.,Gojowczyk P.,Hard
,Cilic M.,Medvedev D.,Medvedev D.,Hard
,Paire B.,Tsitsipas S.,Tsitsipas S.,Hard
,Kyrgios N.,Gombos N.,Kyrgios N.,Hard
,Kyrgios N.,Tsitsipas S.,Kyrgios N.,Hard
,Medvedev D.,Gojowczyk P.,Medvedev D.,Hard
,Medvedev D.,Kyrgios N.,Kyrgios N.,Hard
,Djere L.,Garin C.,Garin C.,Hard
,Norrie C.,Fucsovics M.,Norrie C.,Hard
,Raonic M.,Pouille L.,Raonic M.,Hard
,Tsonga J.W.,Struff J.L.,Struff J.L.,Hard
,Schnur B.,Paul T.,Paul T.,Hard
,Lajovic D.,Basilashvili N.,Basilashvili N.,Hard
,Dimitrov G.,Wawrinka S.,Wawrinka S.,Hard
,Mannarino A.,Kukushkin M.,Mannarino A.,Hard
,Tomic B.,Bautista Agut R.,Bautista Agut R.,Hard
,Kwon S.W.,Ivashka I.,Ivashka I.,Hard
,Gasquet R.,Paire B.,Gasquet R.,Hard
,Herbert P.H.,Shapovalov D.,Shapovalov D.,Hard
,Monfils G.,Polansky P.,Monfils G.,Hard
,Klahn B.,Cilic M.,Cilic M.,Hard
,De Minaur A.,Evans D.,Evans D.,Hard
,Thompson J.,Isner J.,Isner J.,Hard
,Albot R.,Simon G.,Albot R.,Hard
,Cecchinato M.,Schwartzman D.,Schwartzman D.,Hard
,Auger-Aliassime F.,Pospisil V.,Auger-Aliassime F.,Hard
,Lopez F.,Millman J.,Millman J.,Hard
,Pella G.,Goffin D.,Pella G.,Hard
,Gojowczyk P.,Coric B.,Coric B.,Hard
,Fritz T.,Hurkacz H.,Hurkacz H.,Hard
,Edmund K.,Kyrgios N.,Edmund K.,Hard
,Struff J.L.,Basilashvili N.,Basilashvili N.,Hard
,Zverev A.,Norrie C.,Zverev A.,Hard
,Albot R.,Pella G.,Pella G.,Hard
,Cilic M.,Millman J.,Cilic M.,Hard
,Gasquet R.,Nishikori K.,Gasquet R.,Hard
,Nadal R.,Evans D.,Nadal R.,Hard
,Bautista Agut R.,Schwartzman D.,Bautista Agut R.,Hard
,Shapovalov D.,Thiem D.,Thiem D.,Hard
,Isner J.,Garin C.,Garin C.,Hard
,Medvedev D.,Edmund K.,Medvedev D.,Hard
,Tsitsipas S.,Hurkacz H.,Hurkacz H.,Hard
,Monfils G.,Ivashka I.,Monfils G.,Hard
,Wawrinka S.,Khachanov K.,Khachanov K.,Hard
,Auger-Aliassime F.,Raonic M.,Auger-Aliassime F.,Hard
,Mannarino A.,Coric B.,Mannarino A.,Hard
,Fognini F.,Paul T.,Fognini F.,Hard
,Thiem D.,Cilic M.,Thiem D.,Hard
,Medvedev D.,Garin C.,Medvedev D.,Hard
,Basilashvili N.,Zverev A.,Zverev A.,Hard
,Khachanov K.,Auger-Aliassime F.,Khachanov K.,Hard
,Mannarino A.,Fognini F.,Fognini F.,Hard
,Nadal R.,Pella G.,Nadal R.,Hard
,Bautista Agut R.,Gasquet R.,Bautista Agut R.,Hard
,Hurkacz H.,Monfils G.,Monfils G.,Hard
,Medvedev D.,Thiem D.,Medvedev D.,Hard
,Zverev A.,Khachanov K.,Khachanov K.,Hard
,Fognini F.,Nadal R.,Nadal R.,Hard
,Monfils G.,Bautista Agut R.,Monfils G.,Hard
,Khachanov K.,Medvedev D.,Medvedev D.,Hard
,Monfils G.,Nadal R.,Nadal R.,Hard
,Nadal R.,Medvedev D.,Nadal R.,Hard
,Cecchinato M.,De Minaur A.,De Minaur A.,Hard
,Isner J.,Lajovic D.,Isner J.,Hard
,Albot R.,Cilic M.,Albot R.,Hard
,Garin C.,Mannarino A.,Mannarino A.,Hard
,Kudla D.,Pouille L.,Pouille L.,Hard
,Thompson J.,Nishioka Y.,Nishioka Y.,Hard
,Kecmanovic M.,Auger-Aliassime F.,Kecmanovic M.,Hard
,Querrey S.,Herbert P.H.,Querrey S.,Hard
,Pella G.,Ruud C.,Pella G.,Hard
,Berrettini M.,Londero J.I.,Londero J.I.,Hard
,Gasquet R.,Murray A.,Gasquet R.,Hard
,Struff J.L.,Karlovic I.,Struff J.L.,Hard
,Carreno Busta P.,Simon G.,Carreno Busta P.,Hard
,Sonego L.,Kyrgios N.,Kyrgios N.,Hard
,Dimitrov G.,Wawrinka S.,Wawrinka S.,Hard
,Fritz T.,Goffin D.,Goffin D.,Hard
,Basilashvili N.,Rublev A.,Rublev A.,Hard
,Paire B.,Verdasco F.,Paire B.,Hard
,Monfils G.,Tiafoe F.,Tiafoe F.,Hard
,Schwartzman D.,Djere L.,Schwartzman D.,Hard
,Shapovalov D.,Sousa J.,Shapovalov D.,Hard
,Edmund K.,Medvedev D.,Medvedev D.,Hard
,Hurkacz H.,Bautista Agut R.,Bautista Agut R.,Hard
,Opelka R.,Coric B.,Opelka R.,Hard
,Djokovic N.,Querrey S.,Djokovic N.,Hard
,Federer R.,Londero J.I.,Federer R.,Hard
,Isner J.,Carreno Busta P.,Carreno Busta P.,Hard
,Opelka R.,De Minaur A.,De Minaur A.,Hard
,Delbonis F.,Gasquet R.,Gasquet R.,Hard
,Nishikori K.,Nishioka Y.,Nishioka Y.,Hard
,Medvedev D.,Paire B.,Medvedev D.,Hard
,Struff J.L.,Tsitsipas S.,Struff J.L.,Hard
,Albot R.,Schwartzman D.,Schwartzman D.,Hard
,Wawrinka S.,Rublev A.,Rublev A.,Hard
,Pella G.,Goffin D.,Goffin D.,Hard
,Zverev A.,Kecmanovic M.,Kecmanovic M.,Hard
,Mannarino A.,Kukushkin M.,Mannarino A.,Hard
,Pouille L.,Shapovalov D.,Pouille L.,Hard
,Tiafoe F.,Bautista Agut R.,Bautista Agut R.,Hard
,Kyrgios N.,Khachanov K.,Khachanov K.,Hard
,De Minaur A.,Nishioka Y.,Nishioka Y.,Hard
,Gasquet R.,Schwartzman D.,Gasquet R.,Hard
,Goffin D.,Mannarino A.,Goffin D.,Hard
,Struff J.L.,Medvedev D.,Medvedev D.,Hard
,Kecmanovic M.,Bautista Agut R.,Bautista Agut R.,Hard
,Rublev A.,Federer R.,Rublev A.,Hard
,Khachanov K.,Pouille L.,Pouille L.,Hard
,Djokovic N.,Carreno Busta P.,Djokovic N.,Hard
,Gasquet R.,Bautista Agut R.,Gasquet R.,Hard
,Goffin D.,Nishioka Y.,Goffin D.,Hard
,Medvedev D.,Rublev A.,Medvedev D.,Hard
,Djokovic N.,Pouille L.,Djokovic N.,Hard
,Gasquet R.,Goffin D.,Goffin D.,Hard
,Djokovic N.,Medvedev D.,Medvedev D.,Hard
,Medvedev D.,Goffin D.,Medvedev D.,Hard
,Haase R.,Kudla D.,Haase R.,Hard
,Gunneswaran P.,Stebe C.M.,Gunneswaran P.,Hard
,Munar J.,Harris L.,Harris L.,Hard
,Berdych T.,Seppi A.,Berdych T.,Hard
,Copil M.,Klizan M.,Copil M.,Hard
,Andujar P.,Jarry N.,Andujar P.,Hard
,Bublik A.,Cecchinato M.,Cecchinato M.,Hard
,Laaksonen H.,Lee D.H.,Lee D.H.,Hard
,Popyrin A.,Monteiro J.,Popyrin A.,Hard
,Fratangelo B.,Weintraub A.,Fratangelo B.,Hard
,Sandgren T.,Murray A.,Sandgren T.,Hard
,Carballes Baena R.,Giron M.,Carballes Baena R.,Hard
,Sarmiento R.,Chardy J.,Chardy J.,Hard
,Moutet C.,Johnson S.,Johnson S.,Hard
,Fabbiano T.,Rublev A.,Rublev A.,Hard
,Hoang A.,Dzumhur D.,Dzumhur D.,Hard
,Millman J.,Cecchinato M.,Millman J.,Hard
,Haase R.,Sousa J.,Haase R.,Hard
,Paire B.,Gunneswaran P.,Paire B.,Hard
,Copil M.,Carreno Busta P.,Carreno Busta P.,Hard
,Lee D.H.,Hurkacz H.,Hurkacz H.,Hard
,Harris L.,Ruud C.,Ruud C.,Hard
,Krajinovic F.,Berdych T.,Krajinovic F.,Hard
,Lopez F.,Andujar P.,Lopez F.,Hard
,Fratangelo B.,Humbert U.,Humbert U.,Hard
,Evans D.,Johnson S.,Johnson S.,Hard
,Popyrin A.,Kecmanovic M.,Kecmanovic M.,Hard
,Querrey S.,Carballes Baena R.,Querrey S.,Hard
,Sonego L.,Dzumhur D.,Sonego L.,Hard
,Shapovalov D.,Sandgren T.,Shapovalov D.,Hard
,Ramos-Vinolas A.,Rublev A.,Rublev A.,Hard
,Chardy J.,Tiafoe F.,Tiafoe F.,Hard
,Haase R.,Millman J.,Millman J.,Hard
,Humbert U.,Paire B.,Paire B.,Hard
,Johnson S.,Ruud C.,Johnson S.,Hard
,Carreno Busta P.,Sonego L.,Carreno Busta P.,Hard
,Shapovalov D.,Kecmanovic M.,Shapovalov D.,Hard
,Hurkacz H.,Lopez F.,Hurkacz H.,Hard
,Tiafoe F.,Krajinovic F.,Tiafoe F.,Hard
,Rublev A.,Querrey S.,Rublev A.,Hard
,Carreno Busta P.,Paire B.,Paire B.,Hard
,Johnson S.,Millman J.,Johnson S.,Hard
,Rublev A.,Shapovalov D.,Shapovalov D.,Hard
,Tiafoe F.,Hurkacz H.,Hurkacz H.,Hard
,Paire B.,Johnson S.,Paire B.,Hard
,Hurkacz H.,Shapovalov D.,Hurkacz H.,Hard
,Paire B.,Hurkacz H.,Hurkacz H.,Hard
,Lajovic D.,Darcis S.,Lajovic D.,Hard
,Garin C.,Eubanks C.,Garin C.,Hard
,Kudla D.,Tipsarevic J.,Kudla D.,Hard
,Klahn B.,Monteiro T.,Klahn B.,Hard
,Berdych T.,Brooksby J.,Brooksby J.,Hard
,Basilashvili N.,Fucsovics M.,Basilashvili N.,Hard
,Nishikori K.,Trungelliti M.,Nishikori K.,Hard
,De Minaur A.,Herbert P.H.,De Minaur A.,Hard
,Mannarino A.,Evans D.,Evans D.,Hard
,Gunneswaran P.,Medvedev D.,Medvedev D.,Hard
,Opelka R.,Fognini F.,Opelka R.,Hard
,Dellien H.,Kwon S.W.,Dellien H.,Hard
,Svajda Z.,Lorenzi P.,Lorenzi P.,Hard
,Carballes Baena R.,Djokovic N.,Djokovic N.,Hard
,Djere L.,Kecmanovic M.,Kecmanovic M.,Hard
,Seppi A.,Dimitrov G.,Dimitrov G.,Hard
,Londero J.I.,Querrey S.,Londero J.I.,Hard
,Goffin D.,Moutet C.,Goffin D.,Hard
,Norrie C.,Barrere G.,Barrere G.,Hard
,Munar J.,Koepfer D.,Koepfer D.,Hard
,Kohlschreiber P.,Pouille L.,Pouille L.,Hard
,Benchetrit E.,Dzumhur D.,Dzumhur D.,Hard
,Coric B.,Donskoy E.,Coric B.,Hard
,Hurkacz H.,Chardy J.,Chardy J.,Hard
,Sock J.,Cuevas P.,Cuevas P.,Hard
,Pella G.,Carreno Busta P.,Carreno Busta P.,Hard
,Fritz T.,Lopez F.,Lopez F.,Hard
,Giron M.,Nishioka Y.,Nishioka Y.,Hard
,Majchrzak K.,Jarry N.,Majchrzak K.,Hard
,Wawrinka S.,Sinner J.,Wawrinka S.,Hard
,Berankis R.,Vesely J.,Berankis R.,Hard
,Nagal S.,Federer R.,Federer R.,Hard
,Delbonis F.,Popyrin A.,Popyrin A.,Hard
,Gasquet R.,Berrettini M.,Berrettini M.,Hard
,Simon G.,Fratangelo B.,Simon G.,Hard
,Bautista Agut R.,Kukushkin M.,Kukushkin M.,Hard
,Granollers M.,Sonego L.,Sonego L.,Hard
,Tsitsipas S.,Rublev A.,Rublev A.,Hard
,Giraldo S.,Bublik A.,Bublik A.,Hard
,Cilic M.,Klizan M.,Cilic M.,Hard
,Verdasco F.,Kamke T.,Verdasco F.,Hard
,Thompson J.,Sousa J.,Thompson J.,Hard
,Edmund K.,Andujar P.,Andujar P.,Hard
,Isner J.,Garcia-Lopez G.,Isner J.,Hard
,Zverev A.,Albot R.,Zverev A.,Hard
,Krajinovic F.,Stebe C.M.,Stebe C.M.,Hard
,Struff J.L.,Ruud C.,Struff J.L.,Hard
,Sandgren T.,Tsonga J.W.,Sandgren T.,Hard
,Fabbiano T.,Thiem D.,Fabbiano T.,Hard
,Chung H.,Escobedo E.,Chung H.,Hard
,Humbert U.,Copil M.,Copil M.,Hard
,Khachanov K.,Pospisil V.,Pospisil V.,Hard
,Ivashka I.,Kokkinakis T.,Kokkinakis T.,Hard
,Haase R.,Schwartzman D.,Schwartzman D.,Hard
,Kovalik J.,Bedene A.,Bedene A.,Hard
,Schnur B.,Paire B.,Paire B.,Hard
,Gerasimov E.,Harris L.,Gerasimov E.,Hard
,Tiafoe F.,Karlovic I.,Tiafoe F.,Hard
,Mayer L.,Hoang A.,Hoang A.,Hard
,Shapovalov D.,Auger-Aliassime F.,Shapovalov D.,Hard
,Laaksonen H.,Cecchinato M.,Laaksonen H.,Hard
,Monfils G.,Ramos-Vinolas A.,Monfils G.,Hard
,Millman J.,Nadal R.,Nadal R.,Hard
,Johnson S.,Kyrgios N.,Kyrgios N.,Hard
,Dimitrov G.,Coric B.,Dimitrov G.,Hard
,Klahn B.,Nishikori K.,Nishikori K.,Hard
,Federer R.,Dzumhur D.,Federer R.,Hard
,Djokovic N.,Londero J.I.,Djokovic N.,Hard
,Opelka R.,Koepfer D.,Koepfer D.,Hard
,Goffin D.,Barrere G.,Goffin D.,Hard
,Garin C.,De Minaur A.,De Minaur A.,Hard
,Cuevas P.,Majchrzak K.,Majchrzak K.,Hard
,Pouille L.,Evans D.,Evans D.,Hard
,Lajovic D.,Kudla D.,Kudla D.,Hard
,Tiafoe F.,Zverev A.,Zverev A.,Hard
,Lorenzi P.,Kecmanovic M.,Lorenzi P.,Hard
,Bedene A.,Paire B.,Bedene A.,Hard
,Berankis R.,Carreno Busta P.,Carreno Busta P.,Hard
,Chardy J.,Wawrinka S.,Wawrinka S.,Hard
,Dellien H.,Medvedev D.,Medvedev D.,Hard
,Berrettini M.,Thompson J.,Berrettini M.,Hard
,Nishioka Y.,Lopez F.,Lopez F.,Hard
,Basilashvili N.,Brooksby J.,Basilashvili N.,Hard
,Struff J.L.,Isner J.,Isner J.,Hard
,Kukushkin M.,Popyrin A.,Popyrin A.,Hard
,Fabbiano T.,Bublik A.,Bublik A.,Hard
,Sonego L.,Andujar P.,Andujar P.,Hard
,Laaksonen H.,Shapovalov D.,Shapovalov D.,Hard
,Rublev A.,Simon G.,Rublev A.,Hard
,Schwartzman D.,Gerasimov E.,Schwartzman D.,Hard
,Kyrgios N.,Hoang A.,Kyrgios N.,Hard
,Pospisil V.,Sandgren T.,Sandgren T.,Hard
,Monfils G.,Copil M.,Monfils G.,Hard
,Chung H.,Verdasco F.,Chung H.,Hard
,Nadal R.,Kokkinakis T.,Nadal R.,Hard
,Stebe C.M.,Cilic M.,Cilic M.,Hard
,De Minaur A.,Nishikori K.,De Minaur A.,Hard
,Evans D.,Federer R.,Federer R.,Hard
,Carreno Busta P.,Goffin D.,Goffin D.,Hard
,Lorenzi P.,Wawrinka S.,Wawrinka S.,Hard
,Dimitrov G.,Majchrzak K.,Dimitrov G.,Hard
,Koepfer D.,Basilashvili N.,Koepfer D.,Hard
,Medvedev D.,Lopez F.,Medvedev D.,Hard
,Djokovic N.,Kudla D.,Djokovic N.,Hard
,Andujar P.,Bublik A.,Andujar P.,Hard
,Nadal R.,Chung H.,Nadal R.,Hard
,Bedene A.,Zverev A.,Zverev A.,Hard
,Isner J.,Cilic M.,Cilic M.,Hard
,Popyrin A.,Berrettini M.,Berrettini M.,Hard
,Schwartzman D.,Sandgren T.,Schwartzman D.,Hard
,Monfils G.,Shapovalov D.,Monfils G.,Hard
,Rublev A.,Kyrgios N.,Rublev A.,Hard
,Goffin D.,Federer R.,Federer R.,Hard
,De Minaur A.,Dimitrov G.,Dimitrov G.,Hard
,Koepfer D.,Medvedev D.,Medvedev D.,Hard
,Wawrinka S.,Djokovic N.,Wawrinka S.,Hard
,Schwartzman D.,Zverev A.,Schwartzman D.,Hard
,Berrettini M.,Rublev A.,Berrettini M.,Hard
,Monfils G.,Andujar P.,Monfils G.,Hard
,Nadal R.,Cilic M.,Nadal R.,Hard
,Medvedev D.,Wawrinka S.,Medvedev D.,Hard
,Dimitrov G.,Federer R.,Dimitrov G.,Hard
,Berrettini M.,Monfils G.,Berrettini M.,Hard
,Schwartzman D.,Nadal R.,Nadal R.,Hard
,Dimitrov G.,Medvedev D.,Medvedev D.,Hard
,Nadal R.,Berrettini M.,Nadal R.,Hard
,Medvedev D.,Nadal R.,Nadal R.,Hard
,Hoang A.,Stebe C.M.,Hoang A.,Hard
,Darcis S.,Verdasco F.,Verdasco F.,Hard
,Krajinovic F.,Gojowczyk P.,Krajinovic F.,Hard
,Hurkacz H.,Barrere G.,Barrere G.,Hard
,Struff J.L.,Herbert P.H.,Herbert P.H.,Hard
,Gasquet R.,Granollers M.,Gasquet R.,Hard
,Sonego L.,Otte O.,Sonego L.,Hard
,Tsonga J.W.,Andujar P.,Tsonga J.W.,Hard
,Carreno Busta P.,Lenz J.,Carreno Busta P.,Hard
,Roumane R.,Bedene A.,Bedene A.,Hard
,Copil M.,Simon G.,Simon G.,Hard
,Maden Y.,Humbert U.,Maden Y.,Hard
,Barrere G.,Hoang A.,Barrere G.,Hard
,Gasquet R.,Paire B.,Paire B.,Hard
,Verdasco F.,Krajinovic F.,Krajinovic F.,Hard
,Simon G.,Bedene A.,Bedene A.,Hard
,Carreno Busta P.,Goffin D.,Carreno Busta P.,Hard
,Pouille L.,Sonego L.,Pouille L.,Hard
,Tsonga J.W.,Herbert P.H.,Tsonga J.W.,Hard
,Basilashvili N.,Maden Y.,Basilashvili N.,Hard
,Carreno Busta P.,Bedene A.,Bedene A.,Hard
,Barrere G.,Paire B.,Paire B.,Hard
,Pouille L.,Krajinovic F.,Pouille L.,Hard
,Basilashvili N.,Tsonga J.W.,Tsonga J.W.,Hard
,Bedene A.,Paire B.,Bedene A.,Hard
,Pouille L.,Tsonga J.W.,Tsonga J.W.,Hard
,Tsonga J.W.,Bedene A.,Tsonga J.W.,Hard
,Mannarino A.,Travaglia S.,Mannarino A.,Hard
,Sinner J.,Kukushkin M.,Kukushkin M.,Hard
,Dzumhur D.,Tipsarevic J.,Dzumhur D.,Hard
,Klizan M.,Carballes Baena R.,Carballes Baena R.,Hard
,Rosol L.,Gerasimov E.,Gerasimov E.,Hard
,Viola M.,Donskoy E.,Donskoy E.,Hard
,Sela D.,Berankis R.,Berankis R.,Hard
,Ivashka I.,Rublev A.,Rublev A.,Hard
,Kovalik J.,Sousa J.,Sousa J.,Hard
,Vatutin A.,Fucsovics M.,Fucsovics M.,Hard
,Fabbiano T.,Caruso S.,Caruso S.,Hard
,Bublik A.,Ruud C.,Ruud C.,Hard
,Dzumhur D.,Kukushkin M.,Kukushkin M.,Hard
,Gerasimov E.,Mannarino A.,Gerasimov E.,Hard
,Fucsovics M.,Coric B.,Coric B.,Hard
,Ruud C.,Caruso S.,Ruud C.,Hard
,Berrettini M.,Carballes Baena R.,Berrettini M.,Hard
,Sousa J.,Khachanov K.,Sousa J.,Hard
,Medvedev D.,Donskoy E.,Medvedev D.,Hard
,Berankis R.,Rublev A.,Rublev A.,Hard
,Coric B.,Ruud C.,Coric B.,Hard
,Kukushkin M.,Sousa J.,Sousa J.,Hard
,Gerasimov E.,Berrettini M.,Gerasimov E.,Hard
,Rublev A.,Medvedev D.,Medvedev D.,Hard
,Coric B.,Sousa J.,Coric B.,Hard
,Gerasimov E.,Medvedev D.,Medvedev D.,Hard
,Medvedev D.,Coric B.,Medvedev D.,Hard
,Edmund K.,Garin C.,Garin C.,Hard
,Klahn B.,Jung J.,Klahn B.,Hard
,Bai Y.,Evans D.,Evans D.,Hard
,Albot R.,Carreno Busta P.,Carreno Busta P.,Hard
,Londero J.I.,Lajovic D.,Lajovic D.,Hard
,Popyrin A.,Verdasco F.,Verdasco F.,Hard
,Fucsovics M.,Harris L.,Harris L.,Hard
,Gerasimov E.,Li Z.,Gerasimov E.,Hard
,Sousa J.,Chung H.,Sousa J.,Hard
,Pospisil V.,Thompson J.,Thompson J.,Hard
,Fritz T.,Bublik A.,Bublik A.,Hard
,Berankis R.,Shapovalov D.,Shapovalov D.,Hard
,Evans D.,Dimitrov G.,Dimitrov G.,Hard
,Carreno Busta P.,Paire B.,Carreno Busta P.,Hard
,Verdasco F.,Garin C.,Garin C.,Hard
,Klahn B.,Shapovalov D.,Shapovalov D.,Hard
,Auger-Aliassime F.,Sousa J.,Sousa J.,Hard
,Thompson J.,Bublik A.,Bublik A.,Hard
,Harris L.,Lajovic D.,Harris L.,Hard
,Gerasimov E.,Isner J.,Gerasimov E.,Hard
,Dimitrov G.,Bublik A.,Bublik A.,Hard
,Sousa J.,Harris L.,Harris L.,Hard
,Shapovalov D.,Gerasimov E.,Shapovalov D.,Hard
,Carreno Busta P.,Garin C.,Carreno Busta P.,Hard
,Bublik A.,Harris L.,Bublik A.,Hard
,Carreno Busta P.,Shapovalov D.,Carreno Busta P.,Hard
,Bublik A.,Carreno Busta P.,Carreno Busta P.,Hard
,Gojowczyk P.,Norrie C.,Norrie C.,Hard
,Nishioka Y.,Ramos-Vinolas A.,Ramos-Vinolas A.,Hard
