Player_1,Player_2,Winner,Surface
Rochus C.,Karlovic I.,Rochus C.,Hard
Montanes A.,Tursunov D.,Tursunov D.,Hard
Johansson T.,Berrer M.,Johansson T.,Hard
Kohlschreiber P.,Volandri F.,Kohlschreiber P.,Hard
Ljubicic I.,Tipsarevic J.,Ljubicic I.,Hard
Tursunov D.,Kiefer N.,Tursunov D.,Hard
Rochus C.,Wawrinka S.,Wawrinka S.,Hard
Murray A.,Schuettler R.,Murray A.,Hard
Lee H.T.,Calleri A.,Calleri A.,Hard
Santoro F.,Davydenko N.,Davydenko N.,Hard
Ljubicic I.,Kohlschreiber P.,Ljubicic I.,Hard
Johansson T.,Murray A.,Murray A.,Hard
Wawrinka S.,Calleri A.,Wawrinka S.,Hard
Tursunov D.,Davydenko N.,Davydenko N.,Hard
Ljubicic I.,Wawrinka S.,Wawrinka S.,Hard
Davydenko N.,Murray A.,Murray A.,Hard
Murray A.,Wawrinka S.,Murray A.,Hard
Eschauer W.,Melzer J.,Melzer J.,Hard
Almagro N.,Acasuso J.,Almagro N.,Hard
Sela D.,Benneteau J.,Benneteau J.,Hard
King-Turner D.,Chela J.I.,Chela J.I.,Hard
Mayer F.,Querrey S.,Mayer F.,Hard
Montanes A.,Statham R.,Montanes A.,Hard
Berrer M.,Rochus O.,Rochus O.,Hard
Russell M.,Kohlschreiber P.,Kohlschreiber P.,Hard
Jones G.D.,Massu N.,Massu N.,Hard
Roitman S.,Rosol L.,Roitman S.,Hard
Cakl T.,Cilic M.,Cilic M.,Hard
Levine J.,Ferrero J.C.,Ferrero J.C.,Hard
Llodra M.,Lee H.T.,Llodra M.,Hard
Ferrer D.,Hernandez O.,Ferrer D.,Hard
Nieminen J.,Malisse X.,Malisse X.,Hard
Johansson T.,Monaco J.,Monaco J.,Hard
Benneteau J.,Almagro N.,Benneteau J.,Hard
Mayer F.,Chela J.I.,Mayer F.,Hard
Kohlschreiber P.,Cilic M.,Kohlschreiber P.,Hard
Llodra M.,Montanes A.,Llodra M.,Hard
Ferrer D.,Roitman S.,Ferrer D.,Hard
Melzer J.,Ferrero J.C.,Ferrero J.C.,Hard
Massu N.,Malisse X.,Massu N.,Hard
Rochus O.,Monaco J.,Monaco J.,Hard
Kohlschreiber P.,Mayer F.,Kohlschreiber P.,Hard
Ferrero J.C.,Massu N.,Ferrero J.C.,Hard
Monaco J.,Llodra M.,Monaco J.,Hard
Benneteau J.,Ferrer D.,Benneteau J.,Hard
Kohlschreiber P.,Monaco J.,Kohlschreiber P.,Hard
Benneteau J.,Ferrero J.C.,Ferrero J.C.,Hard
Ferrero J.C.,Kohlschreiber P.,Kohlschreiber P.,Hard
Grosjean S.,Luczak P.,Grosjean S.,Hard
Berdych T.,Volandri F.,Berdych T.,Hard
Verdasco F.,Lopez F.,Verdasco F.,Hard
Jones G.,Calleri A.,Calleri A.,Hard
Blake J.,Santoro F.,Santoro F.,Hard
Simon G.,Fish M.,Simon G.,Hard
Andreev I.,Gasquet R.,Gasquet R.,Hard
Guccione C.,Martin A.,Guccione C.,Hard
Seppi A.,Tsonga J.W.,Seppi A.,Hard
Robredo T.,Stepanek R.,Stepanek R.,Hard
Tursunov D.,Wawrinka S.,Tursunov D.,Hard
Mathieu P.H.,Korolev E.,Korolev E.,Hard
Hewitt L.,Mahut N.,Hewitt L.,Hard
Darcis S.,Sirianni J.,Darcis S.,Hard
Minar I.,Jones A.,Minar I.,Hard
Moya C.,Koubek S.,Moya C.,Hard
Tursunov D.,Gasquet R.,Tursunov D.,Hard
Seppi A.,Stepanek R.,Stepanek R.,Hard
Simon G.,Berdych T.,Berdych T.,Hard
Minar I.,Korolev E.,Korolev E.,Hard
Grosjean S.,Verdasco F.,Grosjean S.,Hard
Santoro F.,Darcis S.,Santoro F.,Hard
Guccione C.,Hewitt L.,Guccione C.,Hard
Moya C.,Calleri A.,Calleri A.,Hard
Calleri A.,Stepanek R.,Stepanek R.,Hard
Berdych T.,Guccione C.,Guccione C.,Hard
Tursunov D.,Grosjean S.,Tursunov D.,Hard
Santoro F.,Korolev E.,Santoro F.,Hard
Guccione C.,Stepanek R.,Guccione C.,Hard
Tursunov D.,Santoro F.,Tursunov D.,Hard
Tursunov D.,Guccione C.,Tursunov D.,Hard
Karlovic I.,Baker J.,Karlovic I.,Hard
Klein B.,Capdeville P.,Capdeville P.,Hard
Clement A.,Schuettler R.,Schuettler R.,Hard
Fish M.,Pashanski B.,Fish M.,Hard
Hanescu V.,Mathieu P.H.,Mathieu P.H.,Hard
Vassallo-Arguello M.,Levine J.,Levine J.,Hard
Lu Y.H.,Gicquel M.,Gicquel M.,Hard
Nieminen J.,Dancevic F.,Nieminen J.,Hard
Simon G.,Reynolds B.,Simon G.,Hard
Zverev M.,Robredo T.,Robredo T.,Hard
Slanar M.,Sela D.,Sela D.,Hard
Andreev I.,Pavel A.,Andreev I.,Hard
Dlouhy L.,Roddick A.,Roddick A.,Hard
Vliegen K.,Patience O.,Vliegen K.,Hard
Murray A.,Tsonga J.W.,Tsonga J.W.,Hard
Young D.,Berrer M.,Berrer M.,Hard
Garcia-Lopez G.,Chela J.I.,Garcia-Lopez G.,Hard
Falla A.,Anderson K.,Falla A.,Hard
Seppi A.,Levy H.,Seppi A.,Hard
Davydenko N.,Llodra M.,Davydenko N.,Hard
Acasuso J.,Mahut N.,Mahut N.,Hard
Brzezicki J.P.,Warburg S.,Warburg S.,Hard
Montcourt M.,Youzhny M.,Youzhny M.,Hard
Lindahl N.,Gasquet R.,Gasquet R.,Hard
Calleri A.,Horna L.,Calleri A.,Hard
Kohlschreiber P.,Karanusic R.,Kohlschreiber P.,Hard
Lopez F.,Odesnik W.,Lopez F.,Hard
Serra F.,Mayer F.,Serra F.,Hard
Benneteau J.,Wawrinka S.,Wawrinka S.,Hard
Korolev E.,Granollers M.,Korolev E.,Hard
Koubek S.,Moya C.,Koubek S.,Hard
Troicki V.,Nadal R.,Nadal R.,Hard
Ascione T.,Verdasco F.,Verdasco F.,Hard
Djokovic N.,Becker B.,Djokovic N.,Hard
Haase R.,Ljubicic I.,Haase R.,Hard
Jones A.,Montanes A.,Jones A.,Hard
Kendrick R.,Delic A.,Delic A.,Hard
Berlocq C.,Monaco J.,Monaco J.,Hard
Ram A.,Bolelli S.,Bolelli S.,Hard
Tipsarevic J.,Sirianni J.,Tipsarevic J.,Hard
Johansson T.,Baghdatis M.,Baghdatis M.,Hard
Volandri F.,Grosjean S.,Grosjean S.,Hard
Lee H.T.,Guccione C.,Lee H.T.,Hard
Nalbandian D.,Smeets R.,Nalbandian D.,Hard
Istomin D.,Lacko L.,Istomin D.,Hard
Cilic M.,Almagro N.,Cilic M.,Hard
Roitman S.,Gremelmayr D.,Gremelmayr D.,Hard
Rochus O.,Querrey S.,Querrey S.,Hard
Gulbis E.,Safin M.,Safin M.,Hard
Hewitt L.,Darcis S.,Hewitt L.,Hard
Ferrero J.C.,Kiefer N.,Ferrero J.C.,Hard
Ferrer D.,Roger-Vasselin E.,Ferrer D.,Hard
Vanek J.,Melzer J.,Melzer J.,Hard
Luczak P.,Zabaleta M.,Luczak P.,Hard
Blake J.,Massu N.,Blake J.,Hard
Berdych T.,Eschauer W.,Berdych T.,Hard
Hernandez O.,Minar I.,Hernandez O.,Hard
Tursunov D.,Malisse X.,Tursunov D.,Hard
Russell M.,Fognini F.,Russell M.,Hard
Santoro F.,Isner J.,Santoro F.,Hard
Spadea V.,Stepanek R.,Spadea V.,Hard
Del Potro J.M.,Ventura S.,Del Potro J.M.,Hard
Gonzalez F.,Economidis K.,Gonzalez F.,Hard
Hartfield D.,Federer R.,Federer R.,Hard
Capdeville P.,Mathieu P.H.,Mathieu P.H.,Hard
Garcia-Lopez G.,Falla A.,Garcia-Lopez G.,Hard
Calleri A.,Koubek S.,Koubek S.,Hard
Levine J.,Nieminen J.,Nieminen J.,Hard
Sela D.,Karlovic I.,Karlovic I.,Hard
Tsonga J.W.,Warburg S.,Tsonga J.W.,Hard
Wawrinka S.,Gicquel M.,Gicquel M.,Hard
Nadal R.,Serra F.,Nadal R.,Hard
Youzhny M.,Seppi A.,Youzhny M.,Hard
Fish M.,Robredo T.,Fish M.,Hard
Simon G.,Schuettler R.,Simon G.,Hard
Vliegen K.,Andreev I.,Andreev I.,Hard
Mahut N.,Davydenko N.,Davydenko N.,Hard
Korolev E.,Kohlschreiber P.,Kohlschreiber P.,Hard
Lopez F.,Gasquet R.,Gasquet R.,Hard
Berrer M.,Roddick A.,Roddick A.,Hard
Berdych T.,Hernandez O.,Berdych T.,Hard
Ferrero J.C.,Jones A.,Ferrero J.C.,Hard
Monaco J.,Delic A.,Monaco J.,Hard
Verdasco F.,Tipsarevic J.,Tipsarevic J.,Hard
Santoro F.,Federer R.,Federer R.,Hard
Bolelli S.,Djokovic N.,Djokovic N.,Hard
Istomin D.,Hewitt L.,Hewitt L.,Hard
Del Potro J.M.,Ferrer D.,Ferrer D.,Hard
Tursunov D.,Querrey S.,Querrey S.,Hard
Cilic M.,Melzer J.,Cilic M.,Hard
Haase R.,Grosjean S.,Grosjean S.,Hard
Spadea V.,Gremelmayr D.,Spadea V.,Hard
Luczak P.,Nalbandian D.,Nalbandian D.,Hard
Gonzalez F.,Lee H.T.,Gonzalez F.,Hard
Russell M.,Blake J.,Blake J.,Hard
Baghdatis M.,Safin M.,Baghdatis M.,Hard
Davydenko N.,Gicquel M.,Davydenko N.,Hard
Tsonga J.W.,Garcia-Lopez G.,Tsonga J.W.,Hard
Karlovic I.,Youzhny M.,Youzhny M.,Hard
Mathieu P.H.,Koubek S.,Mathieu P.H.,Hard
Simon G.,Nadal R.,Nadal R.,Hard
Andreev I.,Gasquet R.,Gasquet R.,Hard
Nieminen J.,Fish M.,Nieminen J.,Hard
Roddick A.,Kohlschreiber P.,Kohlschreiber P.,Hard
Berdych T.,Monaco J.,Berdych T.,Hard
Grosjean S.,Blake J.,Blake J.,Hard
Cilic M.,Gonzalez F.,Cilic M.,Hard
Federer R.,Tipsarevic J.,Federer R.,Hard
Djokovic N.,Querrey S.,Djokovic N.,Hard
Baghdatis M.,Hewitt L.,Hewitt L.,Hard
Ferrero J.C.,Nalbandian D.,Ferrero J.C.,Hard
Ferrer D.,Spadea V.,Ferrer D.,Hard
Kohlschreiber P.,Nieminen J.,Nieminen J.,Hard
Gasquet R.,Tsonga J.W.,Tsonga J.W.,Hard
Davydenko N.,Youzhny M.,Youzhny M.,Hard
Nadal R.,Mathieu P.H.,Nadal R.,Hard
Cilic M.,Blake J.,Blake J.,Hard
Federer R.,Berdych T.,Federer R.,Hard
Ferrer D.,Ferrero J.C.,Ferrer D.,Hard
Djokovic N.,Hewitt L.,Djokovic N.,Hard
Nieminen J.,Nadal R.,Nadal R.,Hard
Tsonga J.W.,Youzhny M.,Tsonga J.W.,Hard
Djokovic N.,Ferrer D.,Djokovic N.,Hard
Blake J.,Federer R.,Federer R.,Hard
Nadal R.,Tsonga J.W.,Tsonga J.W.,Hard
Federer R.,Djokovic N.,Djokovic N.,Hard
Djokovic N.,Tsonga J.W.,Djokovic N.,Hard
Ventura S.,Gaudio G.,Ventura S.,Clay
Brzezicki J.P.,Hernandez O.,Brzezicki J.P.,Clay
Cuevas P.,Coria G.,Cuevas P.,Clay
Luczak P.,Acasuso J.,Acasuso J.,Clay
Hartfield D.,Zabaleta M.,Hartfield D.,Clay
Monaco J.,Lapentti N.,Monaco J.,Clay
Massu N.,Roitman S.,Roitman S.,Clay
Granollers M.,Pashanski B.,Granollers M.,Clay
Gimeno-Traver D.,Schwank E.,Gimeno-Traver D.,Clay
Chela J.I.,Fognini F.,Fognini F.,Clay
Podlipnik H.,Verdasco F.,Verdasco F.,Clay
Patience O.,Vassallo-Arguello M.,Vassallo-Arguello M.,Clay
Berlocq C.,Devilder N.,Berlocq C.,Clay
Marrero D.,Garcia A.,Marrero D.,Clay
Horna L.,Calleri A.,Horna L.,Clay
Capdeville P.,Gonzalez F.,Gonzalez F.,Clay
Granollers M.,Brzezicki J.P.,Brzezicki J.P.,Clay
Gimeno-Traver D.,Acasuso J.,Acasuso J.,Clay
Vassallo-Arguello M.,Monaco J.,Monaco J.,Clay
Verdasco F.,Cuevas P.,Cuevas P.,Clay
Fognini F.,Marrero D.,Fognini F.,Clay
Ventura S.,Roitman S.,Ventura S.,Clay
Berlocq C.,Horna L.,Berlocq C.,Clay
Hartfield D.,Gonzalez F.,Gonzalez F.,Clay
Ventura S.,Fognini F.,Ventura S.,Clay
Monaco J.,Brzezicki J.P.,Monaco J.,Clay
Cuevas P.,Acasuso J.,Cuevas P.,Clay
Berlocq C.,Gonzalez F.,Gonzalez F.,Clay
Monaco J.,Ventura S.,Monaco J.,Clay
Cuevas P.,Gonzalez F.,Gonzalez F.,Clay
Gonzalez F.,Monaco J.,Gonzalez F.,Clay
Montanes A.,Devilder N.,Montanes A.,Clay
Vanek J.,Fognini F.,Fognini F.,Clay
Vassallo-Arguello M.,Pashanski B.,Pashanski B.,Clay
Bellucci T.,Lapentti N.,Lapentti N.,Clay
Moya C.,Ventura S.,Moya C.,Clay
Andreev I.,Schwank E.,Schwank E.,Clay
Coria G.,Aldi F.,Coria G.,Clay
Starace P.,Minar I.,Minar I.,Clay
Cuevas P.,Hernandez O.,Hernandez O.,Clay
Almagro N.,Massu N.,Almagro N.,Clay
Roitman S.,Calleri A.,Roitman S.,Clay
Munoz de la Nava D.,Volandri F.,Volandri F.,Clay
Daniel M.,Luczak P.,Luczak P.,Clay
Brzezicki J.P.,Patience O.,Patience O.,Clay
Acasuso J.,Decoud S.,Decoud S.,Clay
Berlocq C.,Kuerten G.,Berlocq C.,Clay
Fognini F.,Montanes A.,Fognini F.,Clay
Roitman S.,Hernandez O.,Hernandez O.,Clay
Berlocq C.,Minar I.,Minar I.,Clay
Patience O.,Moya C.,Moya C.,Clay
Pashanski B.,Almagro N.,Almagro N.,Clay
Volandri F.,Coria G.,Volandri F.,Clay
Decoud S.,Lapentti N.,Lapentti N.,Clay
Schwank E.,Luczak P.,Schwank E.,Clay
Minar I.,Fognini F.,Fognini F.,Clay
Volandri F.,Almagro N.,Almagro N.,Clay
Schwank E.,Lapentti N.,Lapentti N.,Clay
Moya C.,Hernandez O.,Moya C.,Clay
Fognini F.,Almagro N.,Almagro N.,Clay
Lapentti N.,Moya C.,Moya C.,Clay
Moya C.,Almagro N.,Almagro N.,Clay
Ginepri R.,Montcourt M.,Ginepri R.,Hard
Navarro-Pastor I.,Serra F.,Navarro-Pastor I.,Hard
Odesnik W.,Garcia-Lopez G.,Garcia-Lopez G.,Hard
Capdeville P.,Bowles C.,Capdeville P.,Hard
Hartfield D.,Haas T.,Hartfield D.,Hard
Reynolds B.,Malisse X.,Reynolds B.,Hard
Russell M.,Bogomolov A.,Russell M.,Hard
Becker B.,Kunitsyn I.,Kunitsyn I.,Hard
Levine J.,Muller G.,Muller G.,Hard
Fish M.,Crugnola M.,Fish M.,Hard
Gregorc L.,Mirnyi M.,Mirnyi M.,Hard
Blake J.,Kendrick R.,Blake J.,Hard
Querrey S.,Schukin Y.,Querrey S.,Hard
Gremelmayr D.,Spadea V.,Spadea V.,Hard
Nishikori K.,Mayer F.,Nishikori K.,Hard
Young D.,Delic A.,Delic A.,Hard
Russell M.,Ginepri R.,Ginepri R.,Hard
Navarro-Pastor I.,Fish M.,Fish M.,Hard
Hartfield D.,Reynolds B.,Reynolds B.,Hard
Delic A.,Nishikori K.,Nishikori K.,Hard
Querrey S.,Garcia-Lopez G.,Querrey S.,Hard
Mirnyi M.,Kunitsyn I.,Kunitsyn I.,Hard
Spadea V.,Muller G.,Spadea V.,Hard
Capdeville P.,Blake J.,Blake J.,Hard
Nishikori K.,Reynolds B.,Nishikori K.,Hard
Spadea V.,Querrey S.,Querrey S.,Hard
Ginepri R.,Fish M.,Ginepri R.,Hard
Kunitsyn I.,Blake J.,Blake J.,Hard
Nishikori K.,Querrey S.,Nishikori K.,Hard
Ginepri R.,Blake J.,Blake J.,Hard
Nishikori K.,Blake J.,Nishikori K.,Hard
Mathieu P.H.,Gicquel M.,Mathieu P.H.,Hard
Nieminen J.,Soderling R.,Soderling R.,Hard
Mahut N.,Elgin M.,Mahut N.,Hard
Huta Galung J.,Murray A.,Murray A.,Hard
Lee H.T.,Ferrero J.C.,Ferrero J.C.,Hard
Benneteau J.,Pavel A.,Benneteau J.,Hard
Gabashvili T.,Berrer M.,Gabashvili T.,Hard
Clement A.,Baghdatis M.,Baghdatis M.,Hard
Grosjean S.,Wawrinka S.,Wawrinka S.,Hard
Guez D.,Simon G.,Simon G.,Hard
Cilic M.,Youzhny M.,Youzhny M.,Hard
Llodra M.,Seppi A.,Llodra M.,Hard
Bolelli S.,Gasquet R.,Gasquet R.,Hard
Karlovic I.,Lopez F.,Karlovic I.,Hard
Tsonga J.W.,Ancic M.,Ancic M.,Hard
Djokovic N.,Dodig I.,Djokovic N.,Hard
Mahut N.,Ferrero J.C.,Mahut N.,Hard
Murray A.,Wawrinka S.,Murray A.,Hard
Mathieu P.H.,Llodra M.,Mathieu P.H.,Hard
Benneteau J.,Youzhny M.,Youzhny M.,Hard
Ancic M.,Gabashvili T.,Ancic M.,Hard
Djokovic N.,Simon G.,Simon G.,Hard
Soderling R.,Gasquet R.,Soderling R.,Hard
Baghdatis M.,Karlovic I.,Baghdatis M.,Hard
Murray A.,Mahut N.,Murray A.,Hard
Soderling R.,Ancic M.,Ancic M.,Hard
Mathieu P.H.,Simon G.,Mathieu P.H.,Hard
Baghdatis M.,Youzhny M.,Baghdatis M.,Hard
Murray A.,Mathieu P.H.,Murray A.,Hard
Baghdatis M.,Ancic M.,Ancic M.,Hard
Ancic M.,Murray A.,Murray A.,Hard
Starace P.,Pashanski B.,Starace P.,Clay
Vanek J.,Berlocq C.,Vanek J.,Clay
Luczak P.,Nalbandian D.,Nalbandian D.,Clay
Gonzalez M.,Horna L.,Horna L.,Clay
Eschauer W.,Bellucci T.,Bellucci T.,Clay
Prodon E.,Hernandez O.,Hernandez O.,Clay
Lapentti N.,Brzezicki J.P.,Brzezicki J.P.,Clay
Montanes A.,Andreev I.,Andreev I.,Clay
Schwank E.,Fognini F.,Fognini F.,Clay
Chela J.I.,Ventura S.,Chela J.I.,Clay
Ramirez-Hidalgo R.,Gimeno-Traver D.,Gimeno-Traver D.,Clay
Roitman S.,Minar I.,Roitman S.,Clay
Almagro N.,Vassallo-Arguello M.,Almagro N.,Clay
Massu N.,Volandri F.,Volandri F.,Clay
Moya C.,Acasuso J.,Acasuso J.,Clay
Monaco J.,Calleri A.,Calleri A.,Clay
Almagro N.,Hernandez O.,Almagro N.,Clay
Brzezicki J.P.,Starace P.,Starace P.,Clay
Chela J.I.,Bellucci T.,Chela J.I.,Clay
Nalbandian D.,Fognini F.,Nalbandian D.,Clay
Vanek J.,Andreev I.,Andreev I.,Clay
Volandri F.,Roitman S.,Volandri F.,Clay
Acasuso J.,Gimeno-Traver D.,Acasuso J.,Clay
Horna L.,Calleri A.,Calleri A.,Clay
Andreev I.,Acasuso J.,Acasuso J.,Clay
Volandri F.,Calleri A.,Volandri F.,Clay
Nalbandian D.,Starace P.,Nalbandian D.,Clay
Chela J.I.,Almagro N.,Chela J.I.,Clay
Volandri F.,Acasuso J.,Acasuso J.,Clay
Nalbandian D.,Chela J.I.,Nalbandian D.,Clay
Acasuso J.,Nalbandian D.,Nalbandian D.,Clay
Bachinger M.,Berrer M.,Berrer M.,Hard
Ferrero J.C.,Gabashvili T.,Gabashvili T.,Hard
Rochus O.,Karlovic I.,Karlovic I.,Hard
Youzhny M.,Tipsarevic J.,Tipsarevic J.,Hard
Zverev M.,Kohlschreiber P.,Zverev M.,Hard
Mahut N.,Robredo T.,Mahut N.,Hard
Simon G.,Lopez F.,Simon G.,Hard
Soderling R.,Baghdatis M.,Soderling R.,Hard
Ferrer D.,Bolelli S.,Ferrer D.,Hard
Llodra M.,Sluiter R.,Llodra M.,Hard
Hernych J.,Davydenko N.,Davydenko N.,Hard
Verdasco F.,Nieminen J.,Verdasco F.,Hard
Haase R.,Murray A.,Haase R.,Hard
Seppi A.,Hewitt L.,Seppi A.,Hard
Ljubicic I.,Berdych T.,Berdych T.,Hard
Tursunov D.,Nadal R.,Nadal R.,Hard
Mahut N.,Gabashvili T.,Gabashvili T.,Hard
Simon G.,Tipsarevic J.,Simon G.,Hard
Ferrer D.,Zverev M.,Zverev M.,Hard
Davydenko N.,Llodra M.,Llodra M.,Hard
Berdych T.,Karlovic I.,Karlovic I.,Hard
Seppi A.,Nadal R.,Seppi A.,Hard
Berrer M.,Haase R.,Haase R.,Hard
Verdasco F.,Soderling R.,Soderling R.,Hard
Zverev M.,Karlovic I.,Karlovic I.,Hard
Haase R.,Llodra M.,Llodra M.,Hard
Seppi A.,Soderling R.,Soderling R.,Hard
Simon G.,Gabashvili T.,Simon G.,Hard
Llodra M.,Karlovic I.,Llodra M.,Hard
Soderling R.,Simon G.,Soderling R.,Hard
Soderling R.,Llodra M.,Llodra M.,Hard
Hanescu V.,Vliegen K.,Vliegen K.,Hard
Dorsch B.,Reynolds B.,Reynolds B.,Hard
Stepanek R.,Capdeville P.,Stepanek R.,Hard
Garcia-Lopez G.,Melzer J.,Garcia-Lopez G.,Hard
Levine J.,Darcis S.,Levine J.,Hard
Odesnik W.,Young D.,Odesnik W.,Hard
Isner J.,Serra F.,Isner J.,Hard
Daniel M.,Becker B.,Becker B.,Hard
Witten J.,Ginepri R.,Ginepri R.,Hard
Querrey S.,Gremelmayr D.,Gremelmayr D.,Hard
Fish M.,Smyczek T.,Fish M.,Hard
Warburg S.,Blake J.,Blake J.,Hard
Lu Y.H.,Mirnyi M.,Lu Y.H.,Hard
Hartfield D.,Nishikori K.,Nishikori K.,Hard
Guccione C.,Roddick A.,Roddick A.,Hard
Kendrick R.,Haas T.,Haas T.,Hard
Becker B.,Garcia-Lopez G.,Garcia-Lopez G.,Hard
Stepanek R.,Reynolds B.,Stepanek R.,Hard
Ginepri R.,Vliegen K.,Ginepri R.,Hard
Odesnik W.,Lu Y.H.,Lu Y.H.,Hard
Gremelmayr D.,Fish M.,Fish M.,Hard
Haas T.,Isner J.,Isner J.,Hard
Blake J.,Levine J.,Blake J.,Hard
Nishikori K.,Roddick A.,Roddick A.,Hard
Stepanek R.,Lu Y.H.,Stepanek R.,Hard
Isner J.,Garcia-Lopez G.,Garcia-Lopez G.,Hard
Ginepri R.,Blake J.,Ginepri R.,Hard
Roddick A.,Fish M.,Roddick A.,Hard
Stepanek R.,Ginepri R.,Stepanek R.,Hard
Roddick A.,Garcia-Lopez G.,Roddick A.,Hard
Stepanek R.,Roddick A.,Roddick A.,Hard
Andreev I.,Montanes A.,Montanes A.,Clay
Vanek J.,Almagro N.,Almagro N.,Clay
Rodriguez B.,Granollers M.,Granollers M.,Clay
Brzezicki J.P.,Monaco J.,Monaco J.,Clay
Luczak P.,Roitman S.,Luczak P.,Clay
Fognini F.,Horna L.,Horna L.,Clay
Acasuso J.,Hernandez O.,Acasuso J.,Clay
Lapentti N.,Starace P.,Starace P.,Clay
Vassallo-Arguello M.,Massu N.,Massu N.,Clay
Berlocq C.,Canas G.,Canas G.,Clay
Calleri A.,Echagaray B.,Calleri A.,Clay
Minar I.,Volandri F.,Volandri F.,Clay
Ramirez C.,Ventura S.,Ventura S.,Clay
Chela J.I.,Cuevas P.,Chela J.I.,Clay
Moya C.,Eschauer W.,Moya C.,Clay
Pashanski B.,Nalbandian D.,Nalbandian D.,Clay
Almagro N.,Volandri F.,Almagro N.,Clay
Canas G.,Acasuso J.,Acasuso J.,Clay
Granollers M.,Montanes A.,Granollers M.,Clay
Starace P.,Luczak P.,Starace P.,Clay
Calleri A.,Chela J.I.,Calleri A.,Clay
Monaco J.,Horna L.,Horna L.,Clay
Nalbandian D.,Ventura S.,Nalbandian D.,Clay
Massu N.,Moya C.,Massu N.,Clay
Starace P.,Nalbandian D.,Nalbandian D.,Clay
Acasuso J.,Granollers M.,Acasuso J.,Clay
Horna L.,Calleri A.,Horna L.,Clay
Almagro N.,Massu N.,Almagro N.,Clay
Horna L.,Nalbandian D.,Nalbandian D.,Clay
Acasuso J.,Almagro N.,Almagro N.,Clay
Nalbandian D.,Almagro N.,Almagro N.,Clay
Guccione C.,Kendrick R.,Guccione C.,Hard
Serra F.,Daniel M.,Serra F.,Hard
Isner J.,Melzer J.,Melzer J.,Hard
Bjorkman J.,Capdeville P.,Bjorkman J.,Hard
Sela D.,Falla A.,Falla A.,Hard
Haas T.,Hartfield D.,Haas T.,Hard
Hanescu V.,Lu Y.H.,Hanescu V.,Hard
Russell M.,Querrey S.,Querrey S.,Hard
Darcis S.,Spadea V.,Darcis S.,Hard
Stepanek R.,Levine J.,Stepanek R.,Hard
Fish M.,Reynolds B.,Fish M.,Hard
Vliegen K.,Becker B.,Becker B.,Hard
Young D.,Warburg S.,Young D.,Hard
Safin M.,Johansson T.,Johansson T.,Hard
Soderling R.,Niemeyer F.,Soderling R.,Hard
Roddick A.,Muller G.,Roddick A.,Hard
Stepanek R.,Serra F.,Stepanek R.,Hard
Melzer J.,Darcis S.,Darcis S.,Hard
Haas T.,Becker B.,Becker B.,Hard
Hanescu V.,Soderling R.,Soderling R.,Hard
Falla A.,Young D.,Young D.,Hard
Johansson T.,Guccione C.,Guccione C.,Hard
Bjorkman J.,Querrey S.,Bjorkman J.,Hard
Fish M.,Roddick A.,Roddick A.,Hard
Darcis S.,Becker B.,Darcis S.,Hard
Young D.,Bjorkman J.,Bjorkman J.,Hard
Roddick A.,Soderling R.,Soderling R.,Hard
Guccione C.,Stepanek R.,Stepanek R.,Hard
Darcis S.,Bjorkman J.,Darcis S.,Hard
Soderling R.,Stepanek R.,Soderling R.,Hard
Soderling R.,Darcis S.,Darcis S.,Hard
Schuettler R.,Bolelli S.,Bolelli S.,Carpet
Tipsarevic J.,Zverev M.,Tipsarevic J.,Carpet
Koubek S.,Skugor F.,Koubek S.,Carpet
Rochus O.,Santoro F.,Rochus O.,Carpet
Mayer F.,Gabashvili T.,Gabashvili T.,Carpet
Karanusic R.,Kavcic B.,Karanusic R.,Carpet
Seppi A.,de Voest R.,de Voest R.,Carpet
Gicquel M.,Zovko L.,Zovko L.,Carpet
Bastl G.,Troicki V.,Troicki V.,Carpet
Stakhovsky S.,Karlovic I.,Stakhovsky S.,Carpet
Cervenak P.,Simon G.,Simon G.,Carpet
Haase R.,Berrer M.,Haase R.,Carpet
Gulbis E.,Ljubicic I.,Ljubicic I.,Carpet
Ancic M.,Mahut N.,Ancic M.,Carpet
Gremelmayr D.,de Chaunac S.,Gremelmayr D.,Carpet
Cilic M.,Garcia-Lopez G.,Cilic M.,Carpet
de Voest R.,Gabashvili T.,Gabashvili T.,Carpet
Tipsarevic J.,Karanusic R.,Tipsarevic J.,Carpet
Rochus O.,Koubek S.,Rochus O.,Carpet
Troicki V.,Stakhovsky S.,Stakhovsky S.,Carpet
Haase R.,Simon G.,Haase R.,Carpet
Gremelmayr D.,Ancic M.,Ancic M.,Carpet
Ljubicic I.,Zovko L.,Ljubicic I.,Carpet
Bolelli S.,Cilic M.,Bolelli S.,Carpet
Stakhovsky S.,Tipsarevic J.,Stakhovsky S.,Carpet
Ljubicic I.,Gabashvili T.,Ljubicic I.,Carpet
Haase R.,Ancic M.,Ancic M.,Carpet
Rochus O.,Bolelli S.,Bolelli S.,Carpet
Bolelli S.,Stakhovsky S.,Stakhovsky S.,Carpet
Ancic M.,Ljubicic I.,Ljubicic I.,Carpet
Ljubicic I.,Stakhovsky S.,Stakhovsky S.,Carpet
Andreev I.,Minar J.,Andreev I.,Hard
Youzhny M.,Santoro F.,Santoro F.,Hard
Hernych J.,Wawrinka S.,Hernych J.,Hard
